50	68	158	24	61	128
66	46	64	68	17	43
64	14	165	114	46	46
200	137	163	165	185	162
160	164	198	61	160	147
27	187	122	84	127	167
180	65	63	17	67	122
130	25	172	190	199	199
14	181	20	135	107	149
106	172	122	199	50	101
194	158	69	195	109	127
166	131	121	87	20	104
164	33	25	106	42	38
166	167	196	118	166	190
63	158	59	83	45	161
189	101	187	147	35	44
99	181	50	92	159	38
151	45	89	92	47	104
142	182	150	81	21	49
130	112	108	137	117	87
32	71	160	185	66	23
49	17	194	29	15	55
174	155	82	58	79	117
125	32	22	27	129	80
23	105	16	139	123	167
92	35	183	146	33	99
198	121	198	41	79	145
85	119	200	54	102	24
114	165	128	94	80	79
138	136	157	30	59	62
161	63	64	160	19	169
137	133	31	149	20	35
65	101	134	58	121	74
153	122	99	28	154	104
117	13	34	63	61	79
95	75	185	88	19	38
85	88	20	185	94	31
155	78	39	81	186	73
17	42	47	104	107	95
145	87	78	35	13	26
86	119	65	112	88	195
54	35	153	86	79	112
57	36	84	33	181	53
10	183	31	26	66	155
154	20	133	84	129	167
76	160	85	44	38	159
183	172	122	31	26	174
124	102	65	117	170	165
109	131	166	59	124	142
132	76	172	153	76	14
138	80	135	177	172	44
61	196	25	96	100	110
129	10	89	135	167	120
148	162	85	70	78	47
103	151	84	187	176	40
136	49	101	78	161	17
18	114	142	96	117	106
199	26	170	46	14	43
123	148	193	29	146	103
174	138	22	90	143	83
119	188	46	81	179	24
117	179	199	64	122	16
21	51	54	144	153	100
52	49	25	133	141	51
162	170	148	153	123	30
53	38	88	114	84	88
161	166	134	163	104	24
122	35	109	161	109	53
52	107	53	119	59	198
16	57	120	194	100	168
110	19	36	123	102	142
41	124	33	52	67	45
94	141	195	130	190	101
138	63	137	76	173	191
73	39	169	10	15	31
175	134	180	155	104	181
150	48	183	181	146	85
147	161	152	32	182	165
44	182	34	106	197	182
99	70	81	57	189	68
43	19	39	183	64	153
25	136	139	105	120	193
118	168	60	107	195	107
157	87	52	19	129	160
76	189	133	71	110	19
77	50	187	40	118	78
131	60	72	122	55	21
24	39	56	66	126	198
38	111	33	118	83	45
75	43	159	189	58	117
38	164	106	67	172	191
10	109	174	177	182	144
108	126	37	107	72	122
20	72	15	68	29	115
65	88	98	43	75	62
146	114	184	199	20	144
138	100	195	84	84	158
164	180	158	151	118	77
158	86	164	82	20	10
157	166	91	18	133	38
171	184	113	147	97	112
43	35	187	15	74	161
87	13	185	173	43	88
108	188	146	179	108	108
179	176	21	181	30	76
115	167	180	44	93	197
75	77	174	151	52	36
64	15	14	10	58	36
133	60	190	173	144	103
165	154	67	22	188	25
97	151	193	195	58	51
177	26	22	82	78	97
137	109	146	21	116	131
86	177	188	22	89	38
115	176	84	21	54	105
159	78	162	159	142	178
59	76	94	161	85	54
191	37	109	77	116	114
25	47	143	60	154	82
184	86	124	154	100	161
188	169	161	189	102	151
168	79	28	128	26	46
46	144	156	158	55	28
18	167	100	187	99	154
194	73	186	169	94	36
139	76	52	46	143	197
